2024-12-03 19:47:37 root:INFO:  Arguments
2024-12-03 19:47:37 root:INFO:  alpha: 10
2024-12-03 19:47:37 root:INFO:  eta: 2.8
2024-12-03 19:47:37 root:INFO:  epoch: 200
2024-12-03 19:47:37 root:INFO:  save_dir: ./temp
2024-12-03 19:47:37 root:INFO:  save_name: temp-name
2024-12-03 19:47:38 root:INFO:  Epoch 1	 delta_equalized_odds 11.77%	 delta_equal_opportunity 11.77%	 delta_demographic_parity 19.01%	 test_accuracy 85.30%	 test_auroc 0.911 
2024-12-03 19:47:38 root:INFO:  Epoch 2	 delta_equalized_odds 15.23%	 delta_equal_opportunity 15.23%	 delta_demographic_parity 17.28%	 test_accuracy 84.93%	 test_auroc 0.911 
2024-12-03 19:47:38 root:INFO:  Epoch 3	 delta_equalized_odds 12.65%	 delta_equal_opportunity 12.65%	 delta_demographic_parity 7.93%	 test_accuracy 84.51%	 test_auroc 0.903 
2024-12-03 19:47:39 root:INFO:  Epoch 4	 delta_equalized_odds 47.81%	 delta_equal_opportunity 47.81%	 delta_demographic_parity 6.63%	 test_accuracy 81.81%	 test_auroc 0.854 
2024-12-03 19:47:39 root:INFO:  Epoch 5	 delta_equalized_odds 57.43%	 delta_equal_opportunity 57.43%	 delta_demographic_parity 16.16%	 test_accuracy 78.93%	 test_auroc 0.815 
2024-12-03 19:47:40 root:INFO:  Epoch 6	 delta_equalized_odds 52.57%	 delta_equal_opportunity 52.57%	 delta_demographic_parity 12.38%	 test_accuracy 80.06%	 test_auroc 0.832 
2024-12-03 19:47:40 root:INFO:  Epoch 7	 delta_equalized_odds 32.13%	 delta_equal_opportunity 32.13%	 delta_demographic_parity 1.08%	 test_accuracy 83.27%	 test_auroc 0.878 
2024-12-03 19:47:41 root:INFO:  Epoch 8	 delta_equalized_odds 8.68%	 delta_equal_opportunity 8.68%	 delta_demographic_parity 12.49%	 test_accuracy 84.83%	 test_auroc 0.904 
2024-12-03 19:47:41 root:INFO:  Epoch 9	 delta_equalized_odds 5.45%	 delta_equal_opportunity 1.24%	 delta_demographic_parity 15.66%	 test_accuracy 85.09%	 test_auroc 0.908 
2024-12-03 19:47:41 root:INFO:  Epoch 10	 delta_equalized_odds 13.27%	 delta_equal_opportunity 13.27%	 delta_demographic_parity 10.67%	 test_accuracy 84.56%	 test_auroc 0.9 
2024-12-03 19:47:42 root:INFO:  Epoch 11	 delta_equalized_odds 33.27%	 delta_equal_opportunity 33.27%	 delta_demographic_parity 0.24%	 test_accuracy 82.78%	 test_auroc 0.873 
2024-12-03 19:47:42 root:INFO:  Epoch 12	 delta_equalized_odds 43.33%	 delta_equal_opportunity 43.33%	 delta_demographic_parity 9.79%	 test_accuracy 80.57%	 test_auroc 0.843 
2024-12-03 19:47:43 root:INFO:  Epoch 13	 delta_equalized_odds 43.82%	 delta_equal_opportunity 43.82%	 delta_demographic_parity 10.76%	 test_accuracy 80.29%	 test_auroc 0.84 
2024-12-03 19:47:43 root:INFO:  Epoch 14	 delta_equalized_odds 35.92%	 delta_equal_opportunity 35.92%	 delta_demographic_parity 2.97%	 test_accuracy 82.06%	 test_auroc 0.865 
2024-12-03 19:47:44 root:INFO:  Epoch 15	 delta_equalized_odds 21.59%	 delta_equal_opportunity 21.59%	 delta_demographic_parity 6.80%	 test_accuracy 83.81%	 test_auroc 0.89 
2024-12-03 19:47:44 root:INFO:  Epoch 16	 delta_equalized_odds 11.54%	 delta_equal_opportunity 11.54%	 delta_demographic_parity 12.22%	 test_accuracy 84.58%	 test_auroc 0.9 
2024-12-03 19:47:44 root:INFO:  Epoch 17	 delta_equalized_odds 13.13%	 delta_equal_opportunity 13.13%	 delta_demographic_parity 10.76%	 test_accuracy 84.30%	 test_auroc 0.898 
2024-12-03 19:47:45 root:INFO:  Epoch 18	 delta_equalized_odds 27.19%	 delta_equal_opportunity 27.19%	 delta_demographic_parity 3.53%	 test_accuracy 83.18%	 test_auroc 0.883 
2024-12-03 19:47:45 root:INFO:  Epoch 19	 delta_equalized_odds 35.81%	 delta_equal_opportunity 35.81%	 delta_demographic_parity 4.29%	 test_accuracy 81.50%	 test_auroc 0.86 
2024-12-03 19:47:45 root:INFO:  Epoch 20	 delta_equalized_odds 38.62%	 delta_equal_opportunity 38.62%	 delta_demographic_parity 7.90%	 test_accuracy 80.51%	 test_auroc 0.849 
2024-12-03 19:47:45 root:INFO:  Epoch 21	 delta_equalized_odds 35.56%	 delta_equal_opportunity 35.56%	 delta_demographic_parity 4.53%	 test_accuracy 81.42%	 test_auroc 0.859 
2024-12-03 19:47:46 root:INFO:  Epoch 22	 delta_equalized_odds 27.91%	 delta_equal_opportunity 27.91%	 delta_demographic_parity 2.16%	 test_accuracy 82.74%	 test_auroc 0.88 
2024-12-03 19:47:46 root:INFO:  Epoch 23	 delta_equalized_odds 19.59%	 delta_equal_opportunity 19.59%	 delta_demographic_parity 8.12%	 test_accuracy 83.71%	 test_auroc 0.893 
2024-12-03 19:47:46 root:INFO:  Epoch 24	 delta_equalized_odds 17.32%	 delta_equal_opportunity 17.32%	 delta_demographic_parity 9.17%	 test_accuracy 83.90%	 test_auroc 0.895 
2024-12-03 19:47:47 root:INFO:  Epoch 25	 delta_equalized_odds 24.23%	 delta_equal_opportunity 24.23%	 delta_demographic_parity 5.31%	 test_accuracy 83.31%	 test_auroc 0.887 
2024-12-03 19:47:47 root:INFO:  Epoch 26	 delta_equalized_odds 30.95%	 delta_equal_opportunity 30.95%	 delta_demographic_parity 0.47%	 test_accuracy 82.05%	 test_auroc 0.872 
2024-12-03 19:47:47 root:INFO:  Epoch 27	 delta_equalized_odds 34.30%	 delta_equal_opportunity 34.30%	 delta_demographic_parity 4.74%	 test_accuracy 81.16%	 test_auroc 0.859 
