2024-11-28 13:40:21 root:INFO:  Arguments
2024-11-28 13:40:21 root:INFO:  alpha: 0
2024-11-28 13:40:21 root:INFO:  eta: 0
2024-11-28 13:40:21 root:INFO:  epoch: 200
2024-11-28 13:40:21 root:INFO:  save_dir: ./temp
2024-11-28 13:40:21 root:INFO:  save_name: temp-name
2024-11-28 13:40:31 root:INFO:  Epoch 31	 delta_equalized_odds 6.02%	 delta_equal_opportunity 0.68%	 delta_demographic_parity 15.02%	 test_accuracy 84.44%	 test_auroc 0.901 
2024-11-28 13:40:31 root:INFO:  Epoch 32	 delta_equalized_odds 6.02%	 delta_equal_opportunity 0.68%	 delta_demographic_parity 15.02%	 test_accuracy 84.44%	 test_auroc 0.901 
2024-11-28 13:40:31 root:INFO:  Epoch 33	 delta_equalized_odds 6.02%	 delta_equal_opportunity 0.68%	 delta_demographic_parity 15.02%	 test_accuracy 84.44%	 test_auroc 0.901 
2024-11-28 13:40:32 root:INFO:  Epoch 34	 delta_equalized_odds 6.02%	 delta_equal_opportunity 0.68%	 delta_demographic_parity 15.02%	 test_accuracy 84.44%	 test_auroc 0.901 
2024-11-28 13:40:32 root:INFO:  Epoch 35	 delta_equalized_odds 6.02%	 delta_equal_opportunity 0.68%	 delta_demographic_parity 15.02%	 test_accuracy 84.44%	 test_auroc 0.901 
2024-11-28 13:40:32 root:INFO:  Epoch 36	 delta_equalized_odds 6.02%	 delta_equal_opportunity 0.68%	 delta_demographic_parity 15.02%	 test_accuracy 84.44%	 test_auroc 0.901 
2024-11-28 13:40:32 root:INFO:  Epoch 37	 delta_equalized_odds 6.02%	 delta_equal_opportunity 0.68%	 delta_demographic_parity 15.02%	 test_accuracy 84.44%	 test_auroc 0.901 
2024-11-28 13:40:33 root:INFO:  Epoch 38	 delta_equalized_odds 6.02%	 delta_equal_opportunity 0.68%	 delta_demographic_parity 15.02%	 test_accuracy 84.44%	 test_auroc 0.901 
2024-11-28 13:40:33 root:INFO:  Epoch 39	 delta_equalized_odds 6.00%	 delta_equal_opportunity 0.68%	 delta_demographic_parity 15.00%	 test_accuracy 84.44%	 test_auroc 0.901 
2024-11-28 13:40:33 root:INFO:  Epoch 40	 delta_equalized_odds 6.00%	 delta_equal_opportunity 0.68%	 delta_demographic_parity 15.00%	 test_accuracy 84.44%	 test_auroc 0.901 
2024-11-28 13:40:34 root:INFO:  Epoch 41	 delta_equalized_odds 6.02%	 delta_equal_opportunity 0.68%	 delta_demographic_parity 15.02%	 test_accuracy 84.44%	 test_auroc 0.901 
2024-11-28 13:40:34 root:INFO:  Epoch 42	 delta_equalized_odds 6.02%	 delta_equal_opportunity 0.68%	 delta_demographic_parity 15.02%	 test_accuracy 84.44%	 test_auroc 0.901 
2024-11-28 13:40:34 root:INFO:  Epoch 43	 delta_equalized_odds 6.02%	 delta_equal_opportunity 0.68%	 delta_demographic_parity 15.02%	 test_accuracy 84.44%	 test_auroc 0.901 
2024-11-28 13:40:35 root:INFO:  Epoch 44	 delta_equalized_odds 6.02%	 delta_equal_opportunity 0.68%	 delta_demographic_parity 15.02%	 test_accuracy 84.44%	 test_auroc 0.901 
2024-11-28 13:40:35 root:INFO:  Epoch 45	 delta_equalized_odds 6.02%	 delta_equal_opportunity 0.68%	 delta_demographic_parity 15.02%	 test_accuracy 84.44%	 test_auroc 0.901 
2024-11-28 13:40:35 root:INFO:  Epoch 46	 delta_equalized_odds 6.02%	 delta_equal_opportunity 0.68%	 delta_demographic_parity 15.02%	 test_accuracy 84.44%	 test_auroc 0.901 
2024-11-28 13:40:35 root:INFO:  Epoch 47	 delta_equalized_odds 6.02%	 delta_equal_opportunity 0.68%	 delta_demographic_parity 15.02%	 test_accuracy 84.44%	 test_auroc 0.901 
2024-11-28 13:40:36 root:INFO:  Epoch 48	 delta_equalized_odds 6.02%	 delta_equal_opportunity 0.68%	 delta_demographic_parity 15.02%	 test_accuracy 84.44%	 test_auroc 0.901 
2024-11-28 13:40:36 root:INFO:  Epoch 49	 delta_equalized_odds 6.02%	 delta_equal_opportunity 0.68%	 delta_demographic_parity 15.02%	 test_accuracy 84.44%	 test_auroc 0.901 
2024-11-28 13:40:37 root:INFO:  Epoch 50	 delta_equalized_odds 6.02%	 delta_equal_opportunity 0.68%	 delta_demographic_parity 15.02%	 test_accuracy 84.44%	 test_auroc 0.901 
2024-11-28 13:40:37 root:INFO:  Epoch 51	 delta_equalized_odds 6.02%	 delta_equal_opportunity 0.68%	 delta_demographic_parity 15.02%	 test_accuracy 84.44%	 test_auroc 0.901 
2024-11-28 13:40:37 root:INFO:  Epoch 52	 delta_equalized_odds 6.02%	 delta_equal_opportunity 0.68%	 delta_demographic_parity 15.02%	 test_accuracy 84.44%	 test_auroc 0.901 
2024-11-28 13:40:38 root:INFO:  Epoch 53	 delta_equalized_odds 6.02%	 delta_equal_opportunity 0.68%	 delta_demographic_parity 15.02%	 test_accuracy 84.44%	 test_auroc 0.901 
2024-11-28 13:40:38 root:INFO:  Epoch 54	 delta_equalized_odds 6.02%	 delta_equal_opportunity 0.68%	 delta_demographic_parity 15.02%	 test_accuracy 84.44%	 test_auroc 0.901 
2024-11-28 13:40:38 root:INFO:  Epoch 55	 delta_equalized_odds 6.02%	 delta_equal_opportunity 0.68%	 delta_demographic_parity 15.02%	 test_accuracy 84.44%	 test_auroc 0.901 
2024-11-28 13:40:38 root:INFO:  Epoch 56	 delta_equalized_odds 6.02%	 delta_equal_opportunity 0.68%	 delta_demographic_parity 15.02%	 test_accuracy 84.44%	 test_auroc 0.901 
2024-11-28 13:40:39 root:INFO:  Epoch 57	 delta_equalized_odds 6.02%	 delta_equal_opportunity 0.68%	 delta_demographic_parity 15.02%	 test_accuracy 84.44%	 test_auroc 0.901 
2024-11-28 13:40:39 root:INFO:  Epoch 58	 delta_equalized_odds 6.02%	 delta_equal_opportunity 0.68%	 delta_demographic_parity 15.02%	 test_accuracy 84.44%	 test_auroc 0.901 
2024-11-28 13:40:39 root:INFO:  Epoch 59	 delta_equalized_odds 6.02%	 delta_equal_opportunity 0.68%	 delta_demographic_parity 15.02%	 test_accuracy 84.44%	 test_auroc 0.901 
2024-11-28 13:40:40 root:INFO:  Epoch 60	 delta_equalized_odds 6.02%	 delta_equal_opportunity 0.68%	 delta_demographic_parity 15.02%	 test_accuracy 84.44%	 test_auroc 0.901 
2024-11-28 13:40:40 root:INFO:  Epoch 61	 delta_equalized_odds 6.02%	 delta_equal_opportunity 0.68%	 delta_demographic_parity 15.02%	 test_accuracy 84.44%	 test_auroc 0.901 
2024-11-28 13:40:40 root:INFO:  Epoch 62	 delta_equalized_odds 6.02%	 delta_equal_opportunity 0.68%	 delta_demographic_parity 15.02%	 test_accuracy 84.44%	 test_auroc 0.901 
2024-11-28 13:40:41 root:INFO:  Epoch 63	 delta_equalized_odds 6.00%	 delta_equal_opportunity 0.68%	 delta_demographic_parity 15.00%	 test_accuracy 84.44%	 test_auroc 0.901 
2024-11-28 13:40:41 root:INFO:  Epoch 64	 delta_equalized_odds 6.00%	 delta_equal_opportunity 0.68%	 delta_demographic_parity 15.00%	 test_accuracy 84.44%	 test_auroc 0.901 
2024-11-28 13:40:41 root:INFO:  Epoch 65	 delta_equalized_odds 6.02%	 delta_equal_opportunity 0.68%	 delta_demographic_parity 15.02%	 test_accuracy 84.44%	 test_auroc 0.901 
2024-11-28 13:40:42 root:INFO:  Epoch 66	 delta_equalized_odds 6.02%	 delta_equal_opportunity 0.68%	 delta_demographic_parity 15.02%	 test_accuracy 84.44%	 test_auroc 0.901 
2024-11-28 13:40:42 root:INFO:  Epoch 67	 delta_equalized_odds 6.02%	 delta_equal_opportunity 0.68%	 delta_demographic_parity 15.02%	 test_accuracy 84.44%	 test_auroc 0.901 
2024-11-28 13:40:42 root:INFO:  Epoch 68	 delta_equalized_odds 6.02%	 delta_equal_opportunity 0.68%	 delta_demographic_parity 15.02%	 test_accuracy 84.44%	 test_auroc 0.901 
2024-11-28 13:40:43 root:INFO:  Epoch 69	 delta_equalized_odds 6.02%	 delta_equal_opportunity 0.68%	 delta_demographic_parity 15.02%	 test_accuracy 84.44%	 test_auroc 0.901 
2024-11-28 13:40:43 root:INFO:  Epoch 70	 delta_equalized_odds 6.02%	 delta_equal_opportunity 0.68%	 delta_demographic_parity 15.02%	 test_accuracy 84.44%	 test_auroc 0.901 
2024-11-28 13:40:43 root:INFO:  Epoch 71	 delta_equalized_odds 6.02%	 delta_equal_opportunity 0.68%	 delta_demographic_parity 15.02%	 test_accuracy 84.44%	 test_auroc 0.901 
2024-11-28 13:40:44 root:INFO:  Epoch 72	 delta_equalized_odds 6.02%	 delta_equal_opportunity 0.68%	 delta_demographic_parity 15.02%	 test_accuracy 84.44%	 test_auroc 0.901 
2024-11-28 13:40:44 root:INFO:  Epoch 73	 delta_equalized_odds 6.02%	 delta_equal_opportunity 0.68%	 delta_demographic_parity 15.02%	 test_accuracy 84.44%	 test_auroc 0.901 
2024-11-28 13:40:44 root:INFO:  Epoch 74	 delta_equalized_odds 6.02%	 delta_equal_opportunity 0.68%	 delta_demographic_parity 15.02%	 test_accuracy 84.44%	 test_auroc 0.901 
2024-11-28 13:40:45 root:INFO:  Epoch 75	 delta_equalized_odds 6.02%	 delta_equal_opportunity 0.68%	 delta_demographic_parity 15.02%	 test_accuracy 84.44%	 test_auroc 0.901 
2024-11-28 13:40:45 root:INFO:  Epoch 76	 delta_equalized_odds 6.02%	 delta_equal_opportunity 0.68%	 delta_demographic_parity 15.02%	 test_accuracy 84.44%	 test_auroc 0.901 
2024-11-28 13:40:45 root:INFO:  Epoch 77	 delta_equalized_odds 6.02%	 delta_equal_opportunity 0.68%	 delta_demographic_parity 15.02%	 test_accuracy 84.44%	 test_auroc 0.901 
2024-11-28 13:40:46 root:INFO:  Epoch 78	 delta_equalized_odds 6.02%	 delta_equal_opportunity 0.68%	 delta_demographic_parity 15.02%	 test_accuracy 84.44%	 test_auroc 0.901 
2024-11-28 13:40:46 root:INFO:  Epoch 79	 delta_equalized_odds 6.02%	 delta_equal_opportunity 0.68%	 delta_demographic_parity 15.02%	 test_accuracy 84.44%	 test_auroc 0.901 
2024-11-28 13:40:46 root:INFO:  Epoch 80	 delta_equalized_odds 6.02%	 delta_equal_opportunity 0.68%	 delta_demographic_parity 15.02%	 test_accuracy 84.44%	 test_auroc 0.901 
2024-11-28 13:40:46 root:INFO:  Epoch 81	 delta_equalized_odds 6.02%	 delta_equal_opportunity 0.68%	 delta_demographic_parity 15.02%	 test_accuracy 84.44%	 test_auroc 0.901 
2024-11-28 13:40:47 root:INFO:  Epoch 82	 delta_equalized_odds 6.02%	 delta_equal_opportunity 0.68%	 delta_demographic_parity 15.02%	 test_accuracy 84.44%	 test_auroc 0.901 
2024-11-28 13:40:47 root:INFO:  Epoch 83	 delta_equalized_odds 6.02%	 delta_equal_opportunity 0.68%	 delta_demographic_parity 15.02%	 test_accuracy 84.44%	 test_auroc 0.901 
2024-11-28 13:40:47 root:INFO:  Epoch 84	 delta_equalized_odds 6.02%	 delta_equal_opportunity 0.68%	 delta_demographic_parity 15.02%	 test_accuracy 84.44%	 test_auroc 0.901 
2024-11-28 13:40:48 root:INFO:  Epoch 85	 delta_equalized_odds 6.02%	 delta_equal_opportunity 0.68%	 delta_demographic_parity 15.02%	 test_accuracy 84.44%	 test_auroc 0.901 
2024-11-28 13:40:48 root:INFO:  Epoch 86	 delta_equalized_odds 6.02%	 delta_equal_opportunity 0.68%	 delta_demographic_parity 15.02%	 test_accuracy 84.44%	 test_auroc 0.901 
2024-11-28 13:40:48 root:INFO:  Epoch 87	 delta_equalized_odds 6.00%	 delta_equal_opportunity 0.68%	 delta_demographic_parity 15.00%	 test_accuracy 84.44%	 test_auroc 0.901 
2024-11-28 13:40:48 root:INFO:  Epoch 88	 delta_equalized_odds 6.00%	 delta_equal_opportunity 0.68%	 delta_demographic_parity 15.00%	 test_accuracy 84.44%	 test_auroc 0.901 
2024-11-28 13:40:49 root:INFO:  Epoch 89	 delta_equalized_odds 6.02%	 delta_equal_opportunity 0.68%	 delta_demographic_parity 15.02%	 test_accuracy 84.44%	 test_auroc 0.901 
2024-11-28 13:40:49 root:INFO:  Epoch 90	 delta_equalized_odds 6.02%	 delta_equal_opportunity 0.68%	 delta_demographic_parity 15.02%	 test_accuracy 84.44%	 test_auroc 0.901 
2024-11-28 13:40:49 root:INFO:  Epoch 91	 delta_equalized_odds 6.02%	 delta_equal_opportunity 0.68%	 delta_demographic_parity 15.02%	 test_accuracy 84.44%	 test_auroc 0.901 
2024-11-28 13:40:50 root:INFO:  Epoch 92	 delta_equalized_odds 6.02%	 delta_equal_opportunity 0.68%	 delta_demographic_parity 15.02%	 test_accuracy 84.44%	 test_auroc 0.901 
2024-11-28 13:40:50 root:INFO:  Epoch 93	 delta_equalized_odds 6.02%	 delta_equal_opportunity 0.68%	 delta_demographic_parity 15.02%	 test_accuracy 84.44%	 test_auroc 0.901 
2024-11-28 13:40:51 root:INFO:  Epoch 94	 delta_equalized_odds 6.02%	 delta_equal_opportunity 0.68%	 delta_demographic_parity 15.02%	 test_accuracy 84.44%	 test_auroc 0.901 
2024-11-28 13:40:51 root:INFO:  Epoch 95	 delta_equalized_odds 6.02%	 delta_equal_opportunity 0.68%	 delta_demographic_parity 15.02%	 test_accuracy 84.44%	 test_auroc 0.901 
2024-11-28 13:40:51 root:INFO:  Epoch 96	 delta_equalized_odds 6.02%	 delta_equal_opportunity 0.68%	 delta_demographic_parity 15.02%	 test_accuracy 84.44%	 test_auroc 0.901 
2024-11-28 13:40:51 root:INFO:  Epoch 97	 delta_equalized_odds 6.02%	 delta_equal_opportunity 0.68%	 delta_demographic_parity 15.02%	 test_accuracy 84.44%	 test_auroc 0.901 
2024-11-28 13:40:52 root:INFO:  Epoch 98	 delta_equalized_odds 6.02%	 delta_equal_opportunity 0.68%	 delta_demographic_parity 15.02%	 test_accuracy 84.44%	 test_auroc 0.901 
2024-11-28 13:40:52 root:INFO:  Epoch 99	 delta_equalized_odds 6.02%	 delta_equal_opportunity 0.68%	 delta_demographic_parity 15.02%	 test_accuracy 84.44%	 test_auroc 0.901 
2024-11-28 13:40:52 root:INFO:  Epoch 100	 delta_equalized_odds 6.02%	 delta_equal_opportunity 0.68%	 delta_demographic_parity 15.02%	 test_accuracy 84.44%	 test_auroc 0.901 
2024-11-28 13:40:52 root:INFO:  Epoch 101	 delta_equalized_odds 6.02%	 delta_equal_opportunity 0.68%	 delta_demographic_parity 15.02%	 test_accuracy 84.44%	 test_auroc 0.901 
2024-11-28 13:40:53 root:INFO:  Epoch 102	 delta_equalized_odds 6.02%	 delta_equal_opportunity 0.68%	 delta_demographic_parity 15.02%	 test_accuracy 84.44%	 test_auroc 0.901 
2024-11-28 13:40:53 root:INFO:  Epoch 103	 delta_equalized_odds 6.02%	 delta_equal_opportunity 0.68%	 delta_demographic_parity 15.02%	 test_accuracy 84.44%	 test_auroc 0.901 
2024-11-28 13:40:53 root:INFO:  Epoch 104	 delta_equalized_odds 6.02%	 delta_equal_opportunity 0.68%	 delta_demographic_parity 15.02%	 test_accuracy 84.44%	 test_auroc 0.901 
2024-11-28 13:40:54 root:INFO:  Epoch 105	 delta_equalized_odds 6.02%	 delta_equal_opportunity 0.68%	 delta_demographic_parity 15.02%	 test_accuracy 84.44%	 test_auroc 0.901 
2024-11-28 13:40:54 root:INFO:  Epoch 106	 delta_equalized_odds 6.02%	 delta_equal_opportunity 0.68%	 delta_demographic_parity 15.02%	 test_accuracy 84.44%	 test_auroc 0.901 
2024-11-28 13:40:54 root:INFO:  Epoch 107	 delta_equalized_odds 6.02%	 delta_equal_opportunity 0.68%	 delta_demographic_parity 15.02%	 test_accuracy 84.44%	 test_auroc 0.901 
2024-11-28 13:40:55 root:INFO:  Epoch 108	 delta_equalized_odds 6.02%	 delta_equal_opportunity 0.68%	 delta_demographic_parity 15.02%	 test_accuracy 84.44%	 test_auroc 0.901 
2024-11-28 13:40:55 root:INFO:  Epoch 109	 delta_equalized_odds 6.02%	 delta_equal_opportunity 0.68%	 delta_demographic_parity 15.02%	 test_accuracy 84.44%	 test_auroc 0.901 
2024-11-28 13:40:55 root:INFO:  Epoch 110	 delta_equalized_odds 6.02%	 delta_equal_opportunity 0.68%	 delta_demographic_parity 15.02%	 test_accuracy 84.44%	 test_auroc 0.901 
2024-11-28 13:40:55 root:INFO:  Epoch 111	 delta_equalized_odds 6.00%	 delta_equal_opportunity 0.68%	 delta_demographic_parity 15.00%	 test_accuracy 84.44%	 test_auroc 0.901 
2024-11-28 13:40:56 root:INFO:  Epoch 112	 delta_equalized_odds 6.00%	 delta_equal_opportunity 0.68%	 delta_demographic_parity 15.00%	 test_accuracy 84.44%	 test_auroc 0.901 
2024-11-28 13:40:56 root:INFO:  Epoch 113	 delta_equalized_odds 6.02%	 delta_equal_opportunity 0.68%	 delta_demographic_parity 15.02%	 test_accuracy 84.44%	 test_auroc 0.901 
2024-11-28 13:40:56 root:INFO:  Epoch 114	 delta_equalized_odds 6.02%	 delta_equal_opportunity 0.68%	 delta_demographic_parity 15.02%	 test_accuracy 84.44%	 test_auroc 0.901 
2024-11-28 13:40:57 root:INFO:  Epoch 115	 delta_equalized_odds 6.02%	 delta_equal_opportunity 0.68%	 delta_demographic_parity 15.02%	 test_accuracy 84.44%	 test_auroc 0.901 
2024-11-28 13:40:57 root:INFO:  Epoch 116	 delta_equalized_odds 6.02%	 delta_equal_opportunity 0.68%	 delta_demographic_parity 15.02%	 test_accuracy 84.44%	 test_auroc 0.901 
2024-11-28 13:40:57 root:INFO:  Epoch 117	 delta_equalized_odds 6.02%	 delta_equal_opportunity 0.68%	 delta_demographic_parity 15.02%	 test_accuracy 84.44%	 test_auroc 0.901 
2024-11-28 13:40:58 root:INFO:  Epoch 118	 delta_equalized_odds 6.02%	 delta_equal_opportunity 0.68%	 delta_demographic_parity 15.02%	 test_accuracy 84.44%	 test_auroc 0.901 
2024-11-28 13:40:58 root:INFO:  Epoch 119	 delta_equalized_odds 6.02%	 delta_equal_opportunity 0.68%	 delta_demographic_parity 15.02%	 test_accuracy 84.44%	 test_auroc 0.901 
2024-11-28 13:40:58 root:INFO:  Epoch 120	 delta_equalized_odds 6.02%	 delta_equal_opportunity 0.68%	 delta_demographic_parity 15.02%	 test_accuracy 84.44%	 test_auroc 0.901 
2024-11-28 13:40:58 root:INFO:  Epoch 121	 delta_equalized_odds 6.02%	 delta_equal_opportunity 0.68%	 delta_demographic_parity 15.02%	 test_accuracy 84.44%	 test_auroc 0.901 
2024-11-28 13:40:59 root:INFO:  Epoch 122	 delta_equalized_odds 6.02%	 delta_equal_opportunity 0.68%	 delta_demographic_parity 15.02%	 test_accuracy 84.44%	 test_auroc 0.901 
2024-11-28 13:40:59 root:INFO:  Epoch 123	 delta_equalized_odds 6.02%	 delta_equal_opportunity 0.68%	 delta_demographic_parity 15.02%	 test_accuracy 84.44%	 test_auroc 0.901 
2024-11-28 13:40:59 root:INFO:  Epoch 124	 delta_equalized_odds 6.02%	 delta_equal_opportunity 0.68%	 delta_demographic_parity 15.02%	 test_accuracy 84.44%	 test_auroc 0.901 
2024-11-28 13:41:00 root:INFO:  Epoch 125	 delta_equalized_odds 6.02%	 delta_equal_opportunity 0.68%	 delta_demographic_parity 15.02%	 test_accuracy 84.44%	 test_auroc 0.901 
2024-11-28 13:41:00 root:INFO:  Epoch 126	 delta_equalized_odds 6.02%	 delta_equal_opportunity 0.68%	 delta_demographic_parity 15.02%	 test_accuracy 84.44%	 test_auroc 0.901 
