2024-12-03 19:46:04 root:INFO:  Arguments
2024-12-03 19:46:04 root:INFO:  alpha: 0.01
2024-12-03 19:46:04 root:INFO:  eta: 1.0
2024-12-03 19:46:04 root:INFO:  epoch: 200
2024-12-03 19:46:04 root:INFO:  save_dir: ./temp
2024-12-03 19:46:04 root:INFO:  save_name: temp-name
2024-12-03 19:46:08 root:INFO:  Epoch 12	 delta_equalized_odds 4.46%	 delta_equal_opportunity 0.73%	 delta_demographic_parity 13.87%	 test_accuracy 84.98%	 test_auroc 0.91 
2024-12-03 19:46:08 root:INFO:  Epoch 13	 delta_equalized_odds 4.44%	 delta_equal_opportunity 0.78%	 delta_demographic_parity 13.77%	 test_accuracy 84.91%	 test_auroc 0.91 
2024-12-03 19:46:09 root:INFO:  Epoch 14	 delta_equalized_odds 4.40%	 delta_equal_opportunity 0.59%	 delta_demographic_parity 13.70%	 test_accuracy 84.85%	 test_auroc 0.91 
2024-12-03 19:46:09 root:INFO:  Epoch 15	 delta_equalized_odds 4.29%	 delta_equal_opportunity 0.45%	 delta_demographic_parity 13.61%	 test_accuracy 84.86%	 test_auroc 0.91 
2024-12-03 19:46:09 root:INFO:  Epoch 16	 delta_equalized_odds 4.13%	 delta_equal_opportunity 0.35%	 delta_demographic_parity 13.49%	 test_accuracy 84.96%	 test_auroc 0.91 
2024-12-03 19:46:10 root:INFO:  Epoch 17	 delta_equalized_odds 4.01%	 delta_equal_opportunity 0.26%	 delta_demographic_parity 13.38%	 test_accuracy 84.99%	 test_auroc 0.91 
2024-12-03 19:46:10 root:INFO:  Epoch 18	 delta_equalized_odds 3.87%	 delta_equal_opportunity 0.40%	 delta_demographic_parity 13.18%	 test_accuracy 84.95%	 test_auroc 0.91 
2024-12-03 19:46:11 root:INFO:  Epoch 19	 delta_equalized_odds 3.81%	 delta_equal_opportunity 0.12%	 delta_demographic_parity 13.11%	 test_accuracy 84.90%	 test_auroc 0.91 
2024-12-03 19:46:11 root:INFO:  Epoch 20	 delta_equalized_odds 3.85%	 delta_equal_opportunity 0.07%	 delta_demographic_parity 13.11%	 test_accuracy 84.87%	 test_auroc 0.91 
2024-12-03 19:46:11 root:INFO:  Epoch 21	 delta_equalized_odds 3.85%	 delta_equal_opportunity 0.12%	 delta_demographic_parity 13.11%	 test_accuracy 84.84%	 test_auroc 0.91 
2024-12-03 19:46:12 root:INFO:  Epoch 22	 delta_equalized_odds 3.83%	 delta_equal_opportunity 0.50%	 delta_demographic_parity 13.09%	 test_accuracy 84.79%	 test_auroc 0.91 
2024-12-03 19:46:12 root:INFO:  Epoch 23	 delta_equalized_odds 3.76%	 delta_equal_opportunity 0.70%	 delta_demographic_parity 13.05%	 test_accuracy 84.79%	 test_auroc 0.91 
2024-12-03 19:46:13 root:INFO:  Epoch 24	 delta_equalized_odds 3.70%	 delta_equal_opportunity 0.45%	 delta_demographic_parity 12.93%	 test_accuracy 84.77%	 test_auroc 0.91 
2024-12-03 19:46:14 root:INFO:  Epoch 25	 delta_equalized_odds 3.65%	 delta_equal_opportunity 0.93%	 delta_demographic_parity 12.93%	 test_accuracy 84.75%	 test_auroc 0.91 
2024-12-03 19:46:14 root:INFO:  Epoch 26	 delta_equalized_odds 3.62%	 delta_equal_opportunity 0.59%	 delta_demographic_parity 12.81%	 test_accuracy 84.72%	 test_auroc 0.91 
2024-12-03 19:46:15 root:INFO:  Epoch 27	 delta_equalized_odds 3.59%	 delta_equal_opportunity 0.30%	 delta_demographic_parity 12.70%	 test_accuracy 84.70%	 test_auroc 0.91 
2024-12-03 19:46:15 root:INFO:  Epoch 28	 delta_equalized_odds 3.64%	 delta_equal_opportunity 0.78%	 delta_demographic_parity 12.79%	 test_accuracy 84.74%	 test_auroc 0.91 
2024-12-03 19:46:16 root:INFO:  Epoch 29	 delta_equalized_odds 3.59%	 delta_equal_opportunity 0.54%	 delta_demographic_parity 12.69%	 test_accuracy 84.71%	 test_auroc 0.91 
2024-12-03 19:46:17 root:INFO:  Epoch 30	 delta_equalized_odds 3.55%	 delta_equal_opportunity 0.97%	 delta_demographic_parity 12.67%	 test_accuracy 84.68%	 test_auroc 0.91 
2024-12-03 19:46:17 root:INFO:  Epoch 31	 delta_equalized_odds 3.54%	 delta_equal_opportunity 0.68%	 delta_demographic_parity 12.58%	 test_accuracy 84.65%	 test_auroc 0.91 
2024-12-03 19:46:18 root:INFO:  Epoch 32	 delta_equalized_odds 3.52%	 delta_equal_opportunity 0.29%	 delta_demographic_parity 12.46%	 test_accuracy 84.62%	 test_auroc 0.91 
2024-12-03 19:46:18 root:INFO:  Epoch 33	 delta_equalized_odds 3.49%	 delta_equal_opportunity 0.05%	 delta_demographic_parity 12.37%	 test_accuracy 84.61%	 test_auroc 0.91 
2024-12-03 19:46:18 root:INFO:  Epoch 34	 delta_equalized_odds 3.50%	 delta_equal_opportunity 0.10%	 delta_demographic_parity 12.34%	 test_accuracy 84.60%	 test_auroc 0.91 
2024-12-03 19:46:19 root:INFO:  Epoch 35	 delta_equalized_odds 3.55%	 delta_equal_opportunity 0.00%	 delta_demographic_parity 12.35%	 test_accuracy 84.58%	 test_auroc 0.91 
2024-12-03 19:46:19 root:INFO:  Epoch 36	 delta_equalized_odds 3.50%	 delta_equal_opportunity 0.14%	 delta_demographic_parity 12.32%	 test_accuracy 84.61%	 test_auroc 0.91 
2024-12-03 19:46:19 root:INFO:  Epoch 37	 delta_equalized_odds 3.45%	 delta_equal_opportunity 0.33%	 delta_demographic_parity 12.29%	 test_accuracy 84.64%	 test_auroc 0.91 
2024-12-03 19:46:20 root:INFO:  Epoch 38	 delta_equalized_odds 3.34%	 delta_equal_opportunity 0.05%	 delta_demographic_parity 12.16%	 test_accuracy 84.68%	 test_auroc 0.91 
2024-12-03 19:46:20 root:INFO:  Epoch 39	 delta_equalized_odds 3.25%	 delta_equal_opportunity 0.20%	 delta_demographic_parity 12.05%	 test_accuracy 84.69%	 test_auroc 0.91 
